"structure_id","photo_comments2","meas_diff_code","clearest_axis","binary_edge","DPen_inc","DLast_inc","VPen_inc","VLast_inc","DMIR","VMIR","abs_diff","blind_recheck","region","date_collected","nmfs_area","fish_id","specimen","species_code","length","weight","sex","specimen_sample_type","barcode","collection_type","collection_year","read_age","read_method","ageing_collection","Reader_Index","session_name","test_age","test_method","tester","update_age","update_method","final_age","final_method","readability","comment_codes","keywords","comments","timestamp","min_age","max_age","edge_type","session_id","reader_name","tester_name","tray_location","test_session_id","update_session_id","structure_type","Month","Stage","Stage.ls","Stage.same"
6037171,"smidge of growth on edge near tips (T near sulcus)",2,"D","O",0.091,0.007,0.085,0.009,0.0769230769230769,0.105882352941176,0.0289592760180995,"YES-changed","BS","2016-04-09 00:00:00",509,5777263,1125874,10210,260,210,2,NA,1125874,"fishery",2016,7,"B","B14016A",70,NA,NA,"",NA,NA,"",7,"B",1,"","",NA,NA,NA,NA,0,17033,"Julie Pearce","","5774 H 2",NA,NA,1,4,"Juvenile","Juvenile","same"
6039500,NA,3,"V","O",0.1,0.021,0.108,0.02,0.21,0.185185185185185,0.0248148148148148,NA,"BS","2016-08-15 00:00:00",516,5817527,1102331,10210,290,280,2,NA,1102331,"fishery",2016,8,"B","B14016A",70,NA,NA,"",NA,NA,"",8,"B",1,"","",NA,NA,NA,NA,2,17033,"Julie Pearce","","5868 E 1",NA,NA,1,8,"Juvenile","Juvenile","same"
6040818,"difficult to interpret edge",3,"D","O",0.057,0.075,NA,NA,1.31578947368421,NA,NA,"YES-didn't change","BS","2016-06-29 00:00:00",514,5781113,1115261,10210,360,560,2,NA,1115261,"fishery",2016,13,"B","B14016A",70,NA,NA,"",NA,NA,"",13,"B",2,"","",NA,NA,NA,NA,0,17033,"Julie Pearce","","6045 H 7",NA,NA,1,6,"Adult","Adult","same"
6040836,NA,2,"V","O",0.137,0.038,0.087,0.05,0.277372262773723,0.574712643678161,0.297340380904438,NA,"BS","2016-10-27 00:00:00",513,5827371,1130882,10210,330,340,2,NA,1130882,"fishery",2016,9,"B","B14016A",70,NA,NA,"",NA,NA,"",9,"B",1,"","",NA,NA,NA,NA,0,17033,"Julie Pearce","","5894 J 9",NA,NA,1,10,"Juvenile","Adult","different"
6041065,NA,3,"D","O",0.072,0.036,0.077,0.038,0.5,0.493506493506494,0.0064935064935065,NA,"BS","2016-01-25 00:00:00",516,5765678,949649,10210,280,250,2,NA,949649,"fishery",2016,15,"B","B14016A",70,NA,NA,"",NA,12,"B",12,"B",2,"","",NA,NA,NA,NA,0,17033,"Julie Pearce","","5804 L 3",NA,18075,1,1,"Adult","Juvenile","different"
6041407,"Surface not flush; difficult to interpret edge",3,"D","O",0.063,0.028,0.054,0.021,0.444444444444444,0.388888888888889,0.0555555555555556,NA,"BS","2016-03-10 00:00:00",513,5775301,1099836,10210,340,390,1,NA,1099836,"fishery",2016,12,"B","B14016A",70,NA,12,"B",6,NA,"",12,"B",1,"","",NA,NA,NA,NA,5,17033,"Julie Pearce","Delsa Anderl","5726 J 0",17669,NA,1,3,"Adult","Adult","same"
6042062,NA,2,"V","O",0.055,0.023,0.045,0.018,0.418181818181818,0.4,0.0181818181818182,NA,"BS","2016-02-14 00:00:00",509,5765109,1100588,10210,300,360,1,NA,1100588,"fishery",2016,15,"B","B14016A",70,NA,15,"B",6,NA,"",15,"B",1,"","",NA,NA,NA,NA,3,17033,"Julie Pearce","Delsa Anderl","5684 K 9",17669,NA,1,2,"Adult","Adult","same"
6042822,NA,2,"D","O",0.046,0.009,0.032,0.007,0.195652173913043,0.21875,0.0230978260869565,NA,"BS","2016-07-27 00:00:00",513,5801115,1111851,10210,320,420,2,NA,1111851,"fishery",2016,17,"B","B14016A",70,NA,NA,"",NA,NA,"",17,"B",1,"","",NA,NA,NA,NA,2,17033,"Julie Pearce","","5830 A 3",NA,NA,1,7,"Adult","Adult","same"
6043485,NA,1,"V","O",0.109,0.01,0.121,0.016,0.0917431192660551,0.132231404958678,0.0404882856926226,NA,"BS","2016-05-30 00:00:00",514,5781435,1089149,10210,210,100,2,NA,1089149,"fishery",2016,7,"B","B14016A",70,NA,NA,"",NA,NA,"",7,"B",1,"","",NA,NA,NA,NA,2,17033,"Julie Pearce","","6003 M 5",NA,NA,1,5,"Juvenile","Juvenile","same"
6043763,NA,2,"V","O",0.099,0.081,0.093,0.087,0.818181818181818,0.935483870967742,0.117302052785924,NA,"BS","2016-06-24 00:00:00",513,5804412,1103050,10210,230,130,1,NA,1103050,"fishery",2016,7,"B","B14016A",70,NA,NA,"",NA,NA,"",7,"B",1,"","",NA,NA,NA,NA,0,17033,"Julie Pearce","","5910 B 2",NA,NA,1,6,"Juvenile","Adult","different"
6047140,NA,1,"E","O",0.047,0.01,0.045,0.01,0.212765957446809,0.222222222222222,0.00945626477541373,NA,"BS","2016-09-07 00:00:00",509,5824187,1081264,10210,280,240,2,NA,1081264,"fishery",2016,8,"B","B14016A",70,NA,NA,"",NA,NA,"",8,"B",1,"","",NA,NA,NA,NA,0,17033,"Julie Pearce","","5877 J 9",NA,NA,1,9,"Juvenile","Juvenile","same"
6047463,NA,1,"E","O",0.07,0.01,0.076,0.006,0.142857142857143,0.0789473684210526,0.0639097744360902,NA,"BS","2016-05-20 00:00:00",509,5781549,1089132,10210,230,140,2,NA,1089132,"fishery",2016,7,"B","B14016A",70,NA,NA,"",NA,NA,"",7,"B",1,"","",NA,NA,NA,NA,0,17033,"Julie Pearce","","6003 K 5",NA,NA,1,5,"Juvenile","Juvenile","same"
6049863,"smidge of growth on edge near tips (T near sulcus)",1,"E","O",0.074,0.002,0.101,0.001,0.027027027027027,0.0099009900990099,0.0171260369280171,NA,"BS","2016-05-01 00:00:00",514,5776007,1125623,10210,250,180,1,NA,1125623,"fishery",2016,9,"B","B14016A",70,NA,NA,"",NA,NA,"",9,"B",1,"","",NA,NA,NA,NA,0,17033,"Julie Pearce","","5772 F 4",NA,NA,1,5,"Juvenile","Adult","different"
6051463,NA,2,"D","T",0.041,0.039,0.049,0.051,0.951219512195122,1.04081632653061,0.0895968143354902,"YES-didn't change","BS","2016-05-28 00:00:00",513,5796075,1125308,10210,340,480,2,NA,1125308,"fishery",2016,18,"B","B14016A",70,NA,NA,"",NA,NA,"",18,"B",1,"","",NA,NA,NA,NA,0,17033,"Julie Pearce","","5782 I 8",NA,NA,1,5,"Adult","Adult","same"
6055355,NA,2,"V","O",0.036,0.009,0.034,0.012,0.25,0.352941176470588,0.102941176470588,NA,"BS","2016-09-28 00:00:00",513,5837633,1125171,10210,300,240,1,NA,1125171,"fishery",2016,14,"B","B14016A",70,NA,NA,"",NA,NA,"",14,"B",1,"","",NA,NA,NA,NA,3,17033,"Julie Pearce","","5923 F 2",NA,NA,1,9,"Adult","Adult","same"
6057839,NA,2,"E","O",0.069,0.036,0.055,0.025,0.521739130434782,0.454545454545455,0.0671936758893279,NA,"BS","2016-10-17 00:00:00",513,5824210,1104476,10210,310,300,2,NA,1104476,"fishery",2016,11,"B","B14016A",70,NA,NA,"",NA,NA,"",11,"B",1,"","",NA,NA,NA,NA,0,17033,"Julie Pearce","","5877 D 7",NA,NA,1,10,"Adult","Adult","same"
6057899,NA,1,"E","T",0.086,0.078,0.093,0.089,0.906976744186047,0.956989247311828,0.0500125031257813,NA,"BS","2016-04-03 00:00:00",514,5779923,1052027,10210,280,230,1,NA,1052027,"fishery",2016,8,"B","B14016A",70,NA,8,"B",6,NA,"",8,"B",1,"","",NA,NA,NA,NA,0,17033,"Julie Pearce","Delsa Anderl","5734 N 1",17669,NA,1,4,"Juvenile","Adult","different"
6059372,"trans zone starting to form",2,"D","T",0.052,0.048,0.036,0.032,0.923076923076923,0.888888888888889,0.0341880341880342,NA,"BS","2016-05-13 00:00:00",514,5776198,925400,10210,340,460,1,NA,925400,"fishery",2016,20,"B","B14016A",70,NA,NA,"",NA,NA,"",20,"B",1,"","",NA,NA,NA,NA,0,17033,"Julie Pearce","","5773 G 5",NA,NA,1,5,"Adult","Adult","same"
6060474,NA,2,"D","O",0.034,0.019,0.025,0.016,0.558823529411765,0.64,0.0811764705882354,NA,"BS","2016-02-06 00:00:00",513,5772117,1091946,10210,320,480,1,NA,1091946,"fishery",2016,13,"B","B14016A",70,NA,NA,"",NA,NA,"",13,"B",1,"","",NA,NA,NA,NA,3,17033,"Julie Pearce","","5715 I 8",NA,NA,1,2,"Adult","Adult","same"
6060655,"smidge of growth on edge near tips (T near sulcus)",2,"E","O",0.069,0.005,0.082,0.006,0.072463768115942,0.0731707317073171,0.000706963591375051,NA,"BS","2016-06-03 00:00:00",509,5777339,1018002,10210,230,160,2,NA,1018002,"fishery",2016,7,"B","B14016A",70,NA,7,"B",6,NA,"",7,"B",1,"","",NA,NA,NA,NA,0,17033,"Julie Pearce","Delsa Anderl","5774 G 9",17669,NA,1,6,"Juvenile","Juvenile","same"
6061554,NA,2,"E","O",0.049,0.027,0.044,0.017,0.551020408163265,0.386363636363636,0.164656771799629,NA,"BS","2016-11-13 00:00:00",513,5844638,1067096,10210,300,270,1,NA,1067096,"fishery",2016,19,"B","B14016A",70,NA,NA,"",NA,NA,"",19,"B",2,"","",NA,NA,NA,NA,0,17033,"Julie Pearce","","5955 I 8",NA,NA,1,11,"Adult","Adult","same"
6061582,NA,2,"D","O",0.038,0.02,0.051,0.041,0.526315789473684,0.803921568627451,0.277605779153767,NA,"BS","2016-04-14 00:00:00",514,5778189,1022575,10210,330,400,2,NA,1022575,"fishery",2016,13,"B","B14016A",70,NA,NA,"",NA,NA,"",13,"B",1,"","",NA,NA,NA,NA,0,17033,"Julie Pearce","","5752 K 4",NA,NA,1,4,"Adult","Adult","same"
6064430,NA,2,"E","O",0.041,0.039,0.039,0.034,0.951219512195122,0.871794871794872,0.0794246404002501,NA,"BS","2016-09-13 00:00:00",513,5822976,1122827,10210,320,380,2,NA,1122827,"fishery",2016,17,"B","B14016A",70,NA,NA,"",NA,NA,"",17,"B",2,"","",NA,NA,NA,NA,3,17033,"Julie Pearce","","5939 D 4",NA,NA,1,9,"Adult","Adult","same"
6064693,"Surface not flush",2,"D","O",0.033,0.02,0.037,0.02,0.606060606060606,0.540540540540541,0.0655200655200655,NA,"BS","2016-03-08 00:00:00",509,5773110,1016184,10210,310,350,2,NA,1016184,"fishery",2016,25,"B","B14016A",70,NA,25,"B",6,25,"B",25,"B",1,"N","",NA,NA,NA,NA,0,17033,"Julie Pearce","Delsa Anderl","5777 E 3",17669,18075,1,3,"Adult","Adult","same"
6065335,NA,3,"D","O",0.045,0.011,0.05,0.01,0.244444444444444,0.2,0.0444444444444445,NA,"BS","2016-02-05 00:00:00",513,5759573,1096759,10210,350,450,2,NA,1096759,"fishery",2016,18,"B","B14016A",70,NA,18,"B",6,NA,"",18,"B",1,"","",NA,NA,NA,NA,0,17033,"Julie Pearce","Delsa Anderl","5715 D 0",17669,NA,1,2,"Adult","Adult","same"
6066319,NA,2,"D","O",0.091,0.049,0.095,0.076,0.538461538461539,0.8,0.261538461538461,NA,"BS","2016-02-11 00:00:00",513,5760862,1099417,10210,260,190,1,NA,1099417,"fishery",2016,8,"B","B14016A",70,NA,NA,"",NA,NA,"",8,"B",1,"","",NA,NA,NA,NA,0,17033,"Julie Pearce","","5684 A 8",NA,NA,1,2,"Juvenile","Adult","different"
6066942,"smidge of growth on edge near tips (T near sulcus)",2,"V","O",0.068,0.006,0.079,0.007,0.0882352941176471,0.0886075949367089,0.00037230081906181,NA,"BS","2016-06-07 00:00:00",514,5797041,987480,10210,320,400,2,NA,987480,"fishery",2016,9,"B","B14016A",70,NA,NA,"",NA,NA,"",9,"B",1,"","",NA,NA,NA,NA,0,17033,"Julie Pearce","","5911 N 2",NA,NA,1,6,"Juvenile","Adult","different"
6067559,NA,2,"D","O",0.13,0.034,0.148,0.052,0.261538461538462,0.351351351351351,0.0898128898128898,NA,"BS","2016-11-23 00:00:00",513,5844472,1088025,10210,320,340,1,NA,1088025,"fishery",2016,9,"B","B14016A",70,NA,NA,"",NA,NA,"",9,"B",1,"","",NA,NA,NA,NA,3,17033,"Julie Pearce","","6021 K 6",NA,NA,1,11,"Juvenile","Adult","different"
6068690,NA,3,"V","O",0.049,0.012,0.046,0.017,0.244897959183673,0.369565217391304,0.124667258207631,NA,"BS","2016-07-03 00:00:00",513,5809498,1122657,10210,330,460,2,NA,1122657,"fishery",2016,18,"B","B14016A",70,NA,NA,"",NA,NA,"",18,"B",1,"","",NA,NA,NA,NA,2,17033,"Julie Pearce","","5894 F 6",NA,NA,1,7,"Adult","Adult","same"
6069744,"broken; smidge of growth on edge near tips (T near sulcus)",3,"E","O",0.025,0.003,0.041,0.006,0.12,0.146341463414634,0.0263414634146341,NA,"BS","2016-01-22 00:00:00",516,5761590,1093336,10210,340,400,1,NA,1093336,"fishery",2016,17,"B","B14016A",70,NA,NA,"",NA,NA,"",17,"B",2,"","",NA,NA,NA,NA,0,17033,"Julie Pearce","","5682 D 0",NA,NA,1,1,"Adult","Adult","same"
6072462,"smidge of growth on edge near tips (T near sulcus)",2,"V","O",0.091,0.009,0.083,0.017,0.0989010989010989,0.204819277108434,0.105918178207335,NA,"BS","2016-04-25 00:00:00",514,5777500,1049215,10210,280,240,1,NA,1049215,"fishery",2016,8,"B","B14016A",70,NA,NA,"",NA,NA,"",8,"B",1,"","",NA,NA,NA,NA,3,17033,"Julie Pearce","","5946 L 1",NA,NA,1,4,"Juvenile","Adult","different"
6074515,"might be translucent starting on edge? hard to tell",1,"D","O",0.075,0.065,0.057,0.048,0.866666666666667,0.842105263157895,0.024561403508772,NA,"BS","2016-05-11 00:00:00",514,5787425,1096124,10210,270,190,1,NA,1096124,"fishery",2016,11,"B","B14016A",70,NA,NA,"",NA,NA,"",11,"B",1,"","",NA,NA,NA,NA,0,17033,"Julie Pearce","","5804 J 0",NA,NA,1,5,"Adult","Adult","same"
6075568,NA,2,"V","O",0.082,0.016,0.074,0.009,0.195121951219512,0.121621621621622,0.0735003295978906,NA,"BS","2016-01-28 00:00:00",516,5761623,1093378,10210,250,160,2,NA,1093378,"fishery",2016,8,"B","B14016A",70,NA,NA,"",NA,NA,"",8,"B",1,"","",NA,NA,NA,NA,0,17033,"Julie Pearce","","5682 J 5",NA,NA,1,1,"Juvenile","Juvenile","same"
6076531,"Surface not flush; smidge of growth on edge near tips (T near sulcus)",3,"V","O",0.037,0.004,0.028,0.003,0.108108108108108,0.107142857142857,0.000965250965250977,NA,"BS","2016-10-23 00:00:00",513,5843962,1117696,10210,300,270,1,NA,1117696,"fishery",2016,12,"B","B14016A",70,NA,NA,"",NA,NA,"",12,"B",1,"","",NA,NA,NA,NA,0,17033,"Julie Pearce","","5957 E 1",NA,NA,1,10,"Adult","Adult","same"
6076803,NA,2,"V","T",0.04,0.035,0.045,0.037,0.875,0.822222222222222,0.0527777777777779,NA,"BS","2016-05-07 00:00:00",514,5781401,1089176,10210,310,280,1,NA,1089176,"fishery",2016,17,"B","B14016A",70,NA,NA,"",NA,NA,"",17,"B",2,"","",NA,NA,NA,NA,5,17033,"Julie Pearce","","6003 I 9",NA,NA,1,5,"Adult","Adult","same"
6076927,NA,2,"D","T",0.052,0.045,0.04,0.032,0.865384615384615,0.8,0.0653846153846154,NA,"BS","2016-05-10 00:00:00",514,5776103,925374,10210,330,380,1,NA,925374,"fishery",2016,21,"B","B14016A",70,NA,NA,"",NA,NA,"",21,"B",1,"","",NA,NA,NA,NA,0,17033,"Julie Pearce","","5773 J 9",NA,NA,1,5,"Adult","Adult","same"
6078038,NA,3,"D","O",0.032,0.012,0.037,0.015,0.375,0.405405405405405,0.0304054054054054,NA,"BS","2016-01-31 00:00:00",513,5760825,1026844,10210,340,460,2,NA,1026844,"fishery",2016,13,"B","B14016A",70,NA,NA,"",NA,NA,"",13,"B",1,"","",NA,NA,NA,NA,0,17033,"Julie Pearce","","5684 C 7",NA,NA,1,1,"Adult","Adult","same"
6079197,"translucent starting on edge, hard to interpret edge from photo",2,"D","T",0.033,0.032,0.031,0.028,0.96969696969697,0.903225806451613,0.0664711632453568,"YES-changed","BS","2016-04-12 00:00:00",514,5776171,1024985,10210,340,460,1,NA,1024985,"fishery",2016,21,"B","B14016A",70,NA,22,"B",6,NA,"",21,"B",1,"","",NA,NA,NA,NA,0,17033,"Julie Pearce","Delsa Anderl","5772 D 0",17669,NA,1,4,"Adult","Adult","same"
6079664,"difficult to interpret edge",3,"V","O",0.041,0.005,0.04,0.011,0.121951219512195,0.275,0.153048780487805,NA,"BS","2016-11-13 00:00:00",513,5827208,1083676,10210,340,400,2,NA,1083676,"fishery",2016,21,"B","B14016A",70,NA,20,"B",6,20,"B",20,"B",1,"","",NA,NA,NA,NA,2,17033,"Julie Pearce","Delsa Anderl","5904 E 6",17669,18075,1,11,"Adult","Adult","same"
6079950,"difficult to interpret edge",3,"D","T",0.021,0.019,0.027,0.031,0.904761904761905,1.14814814814815,0.243386243386243,"YES-didn't change","BS","2016-11-25 00:00:00",509,5839704,982731,10210,400,610,2,NA,982731,"fishery",2016,29,"B","B14016A",70,NA,NA,"",NA,NA,"",29,"B",2,"","",NA,NA,NA,NA,0,17033,"Julie Pearce","","5973 G 4",NA,NA,1,11,"Adult","Adult","same"
6080010,"Edge difficult to interpret",3,"D","O",0.036,0.016,0.024,0.012,0.444444444444444,0.5,0.0555555555555555,NA,"BS","2016-03-13 00:00:00",516,5767014,994886,10210,370,560,2,NA,994886,"fishery",2016,24,"B","B14016A",70,NA,NA,"",NA,NA,"",24,"B",2,"","",NA,NA,NA,NA,0,17033,"Julie Pearce","","5701 C 2",NA,NA,1,3,"Adult","Adult","same"
6080474,"Boundaries hard to determine",3,"E","O",0.073,0.058,0.079,0.071,0.794520547945206,0.89873417721519,0.104213629269984,NA,"BS","2016-09-16 00:00:00",514,5835921,1075609,10210,300,330,2,NA,1075609,"fishery",2016,7,"B","B14016A",70,NA,NA,"",NA,NA,"",7,"B",1,"","",NA,NA,NA,NA,3,17033,"Julie Pearce","","5926 K 4",NA,NA,1,9,"Juvenile","Adult","different"
6083890,"might be translucent starting on edge? hard to tell",2,"D","O",0.054,0.044,0.051,0.04,0.814814814814815,0.784313725490196,0.0305010893246186,NA,"BS","2016-04-04 00:00:00",514,5777671,1019422,10210,320,330,1,NA,1019422,"fishery",2016,16,"B","B14016A",70,NA,NA,"",NA,NA,"",16,"B",1,"","",NA,NA,NA,NA,0,17033,"Julie Pearce","","5946 J 9",NA,NA,1,4,"Adult","Adult","same"
6084581,NA,2,"V","T",0.037,0.03,0.051,0.048,0.810810810810811,0.941176470588235,0.130365659777425,NA,"BS","2016-05-15 00:00:00",514,5786488,988531,10210,330,400,1,NA,988531,"fishery",2016,14,"B","B14016A",70,NA,NA,"",NA,NA,"",14,"B",1,"","",NA,NA,NA,NA,5,17033,"Julie Pearce","","5753 H 4",NA,NA,1,5,"Adult","Adult","same"
6086269,"checky",2,"V","O",0.096,0.037,0.057,0.026,0.385416666666667,0.456140350877193,0.0707236842105263,NA,"BS","2016-10-11 00:00:00",513,5840435,1073530,10210,290,280,2,NA,1073530,"fishery",2016,8,"B","B14016A",70,NA,8,"B",6,NA,"",8,"B",1,"","",NA,NA,NA,NA,3,17033,"Julie Pearce","Delsa Anderl","5933 C 3",17669,NA,1,10,"Juvenile","Juvenile","same"
6088287,"checky",3,"V","O",0.045,0.037,0.053,0.048,0.822222222222222,0.905660377358491,0.0834381551362684,NA,"BS","2016-03-06 00:00:00",509,5775294,1099885,10210,350,470,2,NA,1099885,"fishery",2016,12,"B","B14016A",70,NA,NA,"",NA,NA,"",12,"B",1,"","",NA,NA,NA,NA,0,17033,"Julie Pearce","","5726 M 8",NA,NA,1,3,"Adult","Adult","same"
6092211,"smidge of growth on edge near tips (T near sulcus)",2,"E","O",0.052,0.007,0.068,0.009,0.134615384615385,0.132352941176471,0.00226244343891407,NA,"BS","2016-05-24 00:00:00",514,5787535,1125559,10210,280,280,2,NA,1125559,"fishery",2016,9,"B","B14016A",70,NA,NA,"",NA,NA,"",9,"B",1,"","",NA,NA,NA,NA,0,17033,"Julie Pearce","","5804 F 1",NA,NA,1,5,"Juvenile","Juvenile","same"
6093079,"difficult to interpret edge",3,"V","O",0.033,0.019,0.035,0.027,0.575757575757576,0.771428571428571,0.195670995670996,NA,"BS","2016-03-29 00:00:00",514,5760451,996477,10210,340,480,2,NA,996477,"fishery",2016,21,"B","B14016A",70,NA,NA,"",NA,NA,"",21,"B",1,"","",NA,NA,NA,NA,0,17033,"Julie Pearce","","5684 G 2",NA,NA,1,3,"Adult","Adult","same"
6093118,NA,2,"E","O",0.061,0.036,0.068,0.035,0.590163934426229,0.514705882352941,0.0754580520732883,NA,"BS","2016-09-24 00:00:00",514,5827022,1075093,10210,290,280,1,NA,1075093,"fishery",2016,9,"B","B14016A",70,NA,8,"B",6,8,"B",8,"B",1,"","",NA,NA,NA,NA,2,17033,"Julie Pearce","Delsa Anderl","5904 N 2",17669,18075,1,9,"Juvenile","Adult","different"
6093333,NA,2,"E","O",0.032,0.027,0.042,0.024,0.84375,0.571428571428571,0.272321428571429,NA,"BS","2016-04-25 00:00:00",514,5775077,1085156,10210,310,330,1,NA,1085156,"fishery",2016,11,"B","B14016A",70,NA,NA,"",NA,NA,"",11,"B",1,"","",NA,NA,NA,NA,5,17033,"Julie Pearce","","5725 G 8",NA,NA,1,4,"Adult","Adult","same"
6093435,NA,2,"V","T",0.08,0.049,0.086,0.043,0.6125,0.5,0.1125,NA,"BS","2016-01-26 00:00:00",516,5770632,1101866,10210,310,300,2,NA,1101866,"fishery",2016,9,"B","B14016A",70,NA,NA,"",NA,NA,"",9,"B",1,"","",NA,NA,NA,NA,5,17033,"Julie Pearce","","5702 H 1",NA,NA,1,1,"Juvenile","Adult","different"
6098295,"might be translucent starting on edge? hard to tell",2,"V","O",0.062,0.058,0.074,0.093,0.935483870967742,1.25675675675676,0.321272885789015,"YES-didn't change","BS","2016-02-22 00:00:00",516,5772732,1092782,10210,330,360,2,NA,1092782,"fishery",2016,8,"B","B14016A",70,NA,NA,"",NA,NA,"",8,"B",1,"","",NA,NA,NA,NA,0,17033,"Julie Pearce","","5702 D 7",NA,NA,1,2,"Juvenile","Adult","different"
6098431,NA,2,"E","O",0.093,0.038,0.087,0.024,0.408602150537634,0.275862068965517,0.132740081572117,NA,"BS","2016-11-07 00:00:00",509,5827569,1077000,10210,250,160,1,NA,1077000,"fishery",2016,7,"B","B14016A",70,NA,NA,"",NA,NA,"",7,"B",1,"","",NA,NA,NA,NA,3,17033,"Julie Pearce","","5895 N 3",NA,NA,1,11,"Juvenile","Adult","different"
6098627,NA,2,"V","O",0.125,0.034,0.111,0.017,0.272,0.153153153153153,0.118846846846847,NA,"BS","2016-09-11 00:00:00",513,5825001,1074002,10210,290,240,2,NA,1074002,"fishery",2016,7,"B","B14016A",70,NA,NA,"",NA,NA,"",7,"B",1,"","",NA,NA,NA,NA,2,17033,"Julie Pearce","","6019 M 9",NA,NA,1,9,"Juvenile","Juvenile","same"
